125,,White non-Hispanic alone,"4,491","4,454","2,973",66.2,2.3,66.8,2.3,"2,496",55.6,2.5,56.1,2.5
126,,Black alone,"2,439","2,305","1,577",64.7,3.9,68.4,3.9,"1,374",56.3,4.0,59.6,4.1
127,,Asian alone,318,191,108,33.9,11.1,56.4,15.0,84,26.3,10.3,43.8,15.0
128,,Hispanic (of any race),525,264,135,25.7,9.9,51.2,16.0,101,19.2,9.0,38.2,15.6
129,,White alone or in combination,"5,043","4,780","3,135",62.2,2.3,65.6,2.3,"2,609",51.7,2.3,54.6,2.4
130,,Black alone or in combination,"2,495","2,361","1,600",64.1,3.9,67.8,3.9,"1,382",55.4,4.0,58.5,4.1
131,,Asian alone or in combination,327,200,108,33.0,10.9,53.9,14.8,84,25.6,10.1,41.9,14.6
132,HAWAII,Total,"1,057",971,523,49.5,2.7,53.9,2.8,427,40.4,2.7,44.0,2.8
133,,Male,504,462,237,46.9,3.9,51.2,4.1,193,38.3,3.8,41.7,4.1
134,,Female,553,509,287,51.9,3.8,56.4,3.9,234,42.4,3.7,46.1,3.9
135,,White alone,237,231,137,57.9,5.7,59.3,5.7,111,46.8,5.7,47.9,5.8
136,,White non-Hispanic alone,211,206,125,59.3,6.0,60.7,6.0,104,49.3,6.1,50.4,6.1
137,,Black alone,22,21,10,B,B,B,B,4,B,B,B,B
138,,Asian alone,480,417,218,45.4,5.1,52.2,5.5,186,38.7,5.0,44.6,5.4
139,,Hispanic (of any race),82,79,34,41.3,15.1,42.9,15.4,25,29.7,14.0,30.9,14.4
140,,White alone or in combination,351,346,211,60.0,4.6,61.0,4.6,171,48.6,4.7,49.3,4.8
141,,Black alone or in combination,28,27,15,B,B,B,B,8,B,B,B,B
142,,Asian alone or in combination,590,527,285,48.2,4.6,54.0,4.8,241,40.9,4.5,45.7,4.8
143,IDAHO,Total,"1,299","1,226",743,57.2,2.7,60.6,2.7,587,45.2,2.7,47.9,2.8
144,,Male,645,608,362,56.1,3.8,59.5,3.9,286,44.3,3.8,47.0,3.9
145,,Female,654,618,381,58.2,3.8,61.6,3.8,301,46.0,3.8,48.7,3.9
146,,White alone,"1,214","1,163",708,58.3,2.8,60.9,2.8,555,45.7,2.8,47.7,2.8
147,,White non-Hispanic alone,"1,048","1,044",664,63.3,2.9,63.6,2.9,531,50.6,3.0,50.9,3.0
148,,Black alone,8,8,8,B,B,B,B,6,B,B,B,B
149,,Asian alone,33,22,9,B,B,B,B,8,B,B,B,B
150,,Hispanic (of any race),182,126,51,27.7,10.1,40.0,13.3,30,16.5,8.4,23.8,11.6
151,,White alone or in combination,"1,232","1,178",715,58.0,2.7,60.7,2.8,562,45.6,2.8,47.7,2.8
152,,Black alone or in combination,12,12,11,B,B,B,B,9,B,B,B,B
153,,Asian alone or in combination,33,22,9,B,B,B,B,8,B,B,B,B
154,ILLINOIS,Total,"9,732","8,947","6,068",62.4,1.6,67.8,1.6,"4,740",48.7,1.7,53.0,1.7
155,,Male,"4,711","4,316","2,794",59.3,2.4,64.7,2.4,"2,183",46.3,2.4,50.6,2.5
156,,Female,"5,021","4,630","3,274",65.2,2.2,70.7,2.2,"2,557",50.9,2.3,55.2,2.4
157,,White alone,"7,564","7,078","4,892",64.7,1.8,69.1,1.8,"3,802",50.3,1.9,53.7,2.0
158,,White non-Hispanic alone,"6,248","6,120","4,436",71.0,1.9,72.5,1.9,"3,494",55.9,2.1,57.1,2.1
159,,Black alone,"1,334","1,274",861,64.5,5.3,67.6,5.3,723,54.2,5.5,56.8,5.6
160,,Asian alone,673,455,205,30.5,7.4,45.1,9.8,150,22.4,6.7,33.1,9.2
