191,.Hispanic (of any race),.Hispanic (of any race),"1,031",608,59.0,7.1,343,33.2,6.8,294,28.5,6.5
192,.White alone or in combination,.White alone or in combination,"7,685","7,147",93.0,0.9,"5,404",70.3,1.5,"4,733",61.6,1.6
193,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"6,714","6,558",97.7,0.5,"5,064",75.4,1.5,"4,443",66.2,1.7
194,.Black alone or in combination ,.Black alone or in combination ,"1,289","1,280",99.3,0.8,926,71.8,4.4,860,66.7,4.7
195,.Asian alone or in combination,.Asian alone or in combination,283,204,72.1,9.9,102,36.0,10.6,78,27.6,9.9
197,.Total,INDIANA-Total,"4,536","4,435",97.8,0.6,"3,031",66.8,1.9,"2,598",57.3,2.0
198,.Male,.Male,"2,182","2,132",97.7,0.9,"1,473",67.5,2.7,"1,247",57.1,2.9
199,.Female,.Female,"2,354","2,303",97.8,0.8,"1,558",66.2,2.6,"1,351",57.4,2.8
200,.White alone,.White alone,"4,088","3,999",97.8,0.6,"2,755",67.4,2.0,"2,364",57.8,2.1
201,..White non-Hispanic alone,..White non-Hispanic alone,"3,905","3,881",99.4,0.3,"2,698",69.1,2.0,"2,323",59.5,2.1
202,.Black alone,.Black alone,368,368,100.0,-,229,62.3,8.3,198,53.8,8.5
203,.Asian alone,.Asian alone,22,10,(B),(B),5,(B),(B),5,(B),(B)
204,.Hispanic (of any race),.Hispanic (of any race),182,118,64.8,15.1,57,31.5,14.6,41,22.6,13.2
205,.White alone or in combination,.White alone or in combination,"4,133","4,044",97.8,0.6,"2,784",67.4,2.0,"2,386",57.7,2.1
206,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"3,950","3,926",99.4,0.3,"2,726",69.0,2.0,"2,344",59.3,2.1
207,.Black alone or in combination ,.Black alone or in combination ,376,376,100.0,-,233,62.0,8.2,202,53.7,8.4
208,.Asian alone or in combination,.Asian alone or in combination,22,10,(B),(B),5,(B),(B),5,(B),(B)
210,.Total,IOWA-Total,"2,212","2,136",96.6,0.8,"1,674",75.7,1.8,"1,522",68.8,2.0
211,.Male,.Male,"1,073","1,034",96.4,1.2,788,73.5,2.7,708,66.0,2.9
212,.Female,.Female,"1,139","1,102",96.8,1.1,886,77.8,2.5,814,71.5,2.7
213,.White alone,.White alone,"2,120","2,061",97.2,0.7,"1,620",76.4,1.9,"1,473",69.5,2.0
214,..White non-Hispanic alone,..White non-Hispanic alone,"2,052","2,038",99.3,0.4,"1,608",78.4,1.8,"1,463",71.3,2.0
215,.Black alone,.Black alone,37,36,(B),(B),24,(B),(B),23,(B),(B)
216,.Asian alone,.Asian alone,27,15,(B),(B),11,(B),(B),11,(B),(B)
217,.Hispanic (of any race),.Hispanic (of any race),69,24,(B),(B),13,(B),(B),12,(B),(B)
218,.White alone or in combination,.White alone or in combination,"2,136","2,077",97.3,0.7,"1,634",76.5,1.8,"1,484",69.5,2.0
219,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"2,068","2,055",99.3,0.4,"1,622",78.5,1.8,"1,474",71.3,2.0
220,.Black alone or in combination ,.Black alone or in combination ,41,40,(B),(B),28,(B),(B),26,(B),(B)
221,.Asian alone or in combination,.Asian alone or in combination,30,18,(B),(B),12,(B),(B),11,(B),(B)
