index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
209,HISPANIC ORIGIN,8,10,487,22,22,27,9,77,80,95,53,186,104,240
210,NORTH DAKOTA TOTAL,270,300,262,313,279,330,259,321,266,328,279,362,335,373
211,MALE,137,149,129,155,129,158,127,147,132,165,136,182,160,188
212,FEMALE,133,151,133,159,150,172,132,174,134,163,143,180,175,185
213,WHITE,262,294,0,303,270,318,240,289,240,305,266,348,315,352
214,BLACK,0,1,250,1,1,1,,1,,2,2,3,1,2
215,HISPANIC ORIGIN,0,1,0,,1,2,1,1,,6,2,4,7,5
216,OHIO TOTAL,3805,4811,3685,4823,3652,5485,4408,5483,3824,5395,3378,5408,4538,6128
217,MALE,1773,2228,1708,2201,1675,2581,2051,2604,1866,2463,1616,2472,2035,2913
218,FEMALE,2032,2582,1977,2622,1977,2905,2357,2879,1958,2932,1762,2936,2503,3216
219,WHITE,3485,4381,26,4280,3243,4802,3936,4722,3382,4565,2898,4642,3889,5223
220,BLACK,299,406,3272,502,396,586,397,630,389,699,403,637,519,678
221,HISPANIC ORIGIN,21,30,384,43,29,90,58,74,38,98,36,100,60,175
222,OKLAHOMA TOTAL,1089,1379,973,1431,1201,1541,1174,1507,1061,1431,920,1555,1350,1631
223,MALE,515,602,477,653,588,724,561,722,489,656,418,735,626,741
224,FEMALE,575,777,496,778,612,818,613,785,572,775,502,820,724,890
225,WHITE,977,1172,11,1287,1026,1271,995,1210,833,1101,751,1263,1098,1347
226,BLACK,68,114,828,51,83,104,72,119,71,102,56,102,61,108
227,HISPANIC ORIGIN,10,11,68,21,29,25,17,33,19,36,28,50,71,75
228,OREGON TOTAL,1415,1462,1163,1529,1359,1924,1601,1818,1594,1897,1594,1942,1918,2402
229,MALE,674,686,562,712,647,911,749,835,781,893,741,952,912,1144
230,FEMALE,740,776,601,817,713,1013,851,983,813,1004,852,990,1006,1258
231,WHITE,1375,1405,15,1477,1295,1824,1518,1670,1493,1733,1510,1790,1769,2191
232,BLACK,18,34,1119,17,28,21,16,34,25,26,14,23,41,39
