index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
291,WHITE,2499,2686,64,2656,2709,2722,2749,2932,3028,2987,2819,3403,3219,3452
292,BLACK,62,38,2456,62,71,80,43,57,60,103,74,116,155,136
293,HISPANIC ORIGIN,21,54,40,71,63,56,97,160,110,172,169,292,267,296
294,WEST VIRGINIA TOTAL,852,921,880,886,827,935,873,917,883,982,896,913,892,928
295,MALE,409,413,392,412,391,434,404,438,406,474,431,428,423,457
296,FEMALE,443,508,488,475,437,502,469,479,477,508,465,485,470,471
297,WHITE,820,900,1,857,810,897,843,890,857,948,863,865,856,879
298,BLACK,29,19,859,29,15,23,18,21,22,23,17,27,19,26
299,HISPANIC ORIGIN,0,1,11,1,5,1,2,5,2,8,11,4,10,10
300,WISCONSIN TOTAL,2813,2900,2602,2970,2744,3225,2948,3095,2908,3318,3005,3323,3129,3391
301,MALE,1362,1428,1225,1420,1360,1551,1377,1501,1360,1554,1433,1584,1519,1616
302,FEMALE,1450,1471,1377,1551,1383,1675,1571,1594,1549,1764,1572,1739,1610,1775
303,WHITE,2713,2772,14,2815,2605,3019,2748,2881,2723,3030,2791,3130,2883,3119
304,BLACK,69,97,2457,105,101,141,120,145,113,184,129,101,137,126
305,HISPANIC ORIGIN,7,33,104,34,51,72,58,77,53,76,77,136,91,105
306,WYOMING TOTAL,230,247,227,240,240,265,253,270,239,268,241,304,268,296
307,MALE,112,119,113,118,113,129,123,127,118,127,117,154,134,141
308,FEMALE,118,129,114,122,127,135,131,142,121,141,124,150,135,155
309,WHITE,225,244,6,236,234,258,247,261,230,259,227,284,259,280
310,BLACK,2,,221,1,,1,2,1,2,1,5,4,3,1
311,HISPANIC ORIGIN,6,7,0,9,10,11,13,8,9,10,9,15,16,23
